,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hanzhong,33.0728,107.0303,59.23,56,4,3.18,CN,1613098800
1,La Ronge,55.1001,-105.2842,-13.97,76,100,10.33,CA,1613098800
2,Souillac,-20.5167,57.5167,78.6,74,87,11.41,MU,1613098800
3,Kibungan,16.695,120.6553,73.96,78,27,4.27,PH,1613098800
4,Provideniya,64.3833,-173.3,-7.96,73,55,19.77,RU,1613098800
5,Bengkulu,-3.8004,102.2655,84.11,74,99,4.18,ID,1613098800
6,Mehamn,71.0357,27.8492,21.78,91,85,8.66,NO,1613098800
7,Pisco,-13.7,-76.2167,73.31,75,36,0.34,PE,1613098800
8,Torbay,47.6666,-52.7314,24.78,95,95,32.39,CA,1613098800
9,Albany,42.6001,-73.9662,13.46,73,63,6.38,US,1613098800
10,Gamba,-2.65,10.0,78.46,87,100,4.94,GA,1613098800
11,Port Alfred,-33.5906,26.891,72.81,92,89,11.23,ZA,1613098800
12,Dwārka,22.2394,68.9678,70.86,71,0,7.67,IN,1613098800
13,Nikolskoye,59.7035,30.7861,1.81,90,87,3.38,RU,1613098800
14,Mataura,-46.1927,168.8643,69.24,53,2,3.51,NZ,1613098800
15,Hermanus,-34.4187,19.2345,72.72,85,65,6.8,ZA,1613098800
16,Castro,-24.7911,-50.0119,60.87,97,91,6.85,BR,1613098800
17,Saint-François,46.4154,3.9054,26.01,90,75,7.72,FR,1613098800
18,Arraial do Cabo,-22.9661,-42.0278,76.33,91,69,13.53,BR,1613098800
19,Lapua,62.9693,23.0088,6.01,89,8,3.96,FI,1613098800
20,Jamestown,42.097,-79.2353,10.35,86,44,5.48,US,1613098800
21,Iqaluit,63.7506,-68.5145,-3.95,82,46,11.77,CA,1613098800
22,Mustla,58.2343,25.8584,4.39,90,74,5.06,EE,1613098800
23,Fukuechō,32.6881,128.8419,55.76,65,87,8.32,JP,1613098800
24,Chui,-33.6971,-53.4616,70.36,91,100,11.88,UY,1613098800
25,Nynäshamn,58.9034,17.9479,13.28,77,12,11.61,SE,1613098800
26,Bredasdorp,-34.5322,20.0403,71.15,90,66,2.68,ZA,1613098800
27,Punta Arenas,-53.15,-70.9167,45.99,72,26,11.27,CL,1613098800
28,Hithadhoo,-0.6,73.0833,81.48,78,60,12.3,MV,1613098800
29,Auki,-8.7676,160.7034,81.0,84,100,11.81,SB,1613098800
30,La Asuncion,11.0333,-63.8628,75.92,83,84,15.43,VE,1613098800
31,Long Xuyen,10.3833,105.4167,80.28,84,47,6.91,VN,1613098800
32,Panzhihua,26.5851,101.7128,62.17,63,0,0.31,CN,1613098800
33,Yulara,-25.2406,130.9889,84.72,79,86,3.83,AU,1613098800
34,Marovoay,-16.1,46.6333,73.85,96,66,5.06,MG,1613098800
35,Honiara,-9.4333,159.95,78.53,86,100,5.79,SB,1613098800
36,Yellowknife,62.456,-114.3525,-10.66,82,1,6.46,CA,1613098800
37,Gigmoto,13.7796,124.39,82.98,75,22,3.96,PH,1613098800
38,Tuktoyaktuk,69.4541,-133.0374,-1.91,86,69,6.24,CA,1613098800
39,Palana,59.1167,159.9667,6.93,89,0,17.72,RU,1613098800
40,Egvekinot,66.3167,-179.1667,-20.45,84,0,10.78,RU,1613098800
41,Ahipara,-35.1667,173.1667,69.57,56,2,9.6,NZ,1613098800
42,Tasiilaq,65.6145,-37.6368,19.92,82,87,16.73,GL,1613098800
43,Talnakh,69.4865,88.3972,-16.15,87,96,2.24,RU,1613098800
44,Yatou,37.15,122.3833,48.78,73,55,9.71,CN,1613098800
45,Ushuaia,-54.8,-68.3,45.61,77,44,2.46,AR,1613098800
46,Bluff,-46.6,168.3333,58.55,67,20,7.36,NZ,1613098800
47,Kiunga,-6.1219,141.2906,89.92,67,100,4.45,PG,1613098800
48,Lüderitz,-26.6481,15.1594,64.9,86,27,0.63,NA,1613098800
49,Qaanaaq,77.484,-69.3632,6.89,70,0,7.56,GL,1613098800
50,Chaihe,44.7667,129.7,31.44,95,100,5.26,CN,1613098800
51,Puerto Ayora,-0.7393,-90.3518,76.06,94,80,8.59,EC,1613098800
52,Mahon,39.8885,4.2658,56.07,82,45,5.26,ES,1613098800
53,Sitka,57.0531,-135.33,24.57,56,1,9.19,US,1613098800
54,Bathsheba,13.2167,-59.5167,77.67,70,29,20.69,BB,1613098800
55,Aksarka,66.5606,67.7975,-23.89,84,98,3.24,RU,1613098800
56,Pampa,35.5362,-100.9599,25.11,79,1,14.81,US,1613098800
57,Cabo San Lucas,22.8909,-109.9124,65.35,73,11,7.63,MX,1613098800
58,Ponta do Sol,32.6667,-17.1,62.35,79,22,4.12,PT,1613098800
59,Taltal,-25.4,-70.4833,66.16,73,0,2.19,CL,1613098800
60,Cockburn Town,21.4612,-71.1419,76.86,73,20,21.74,TC,1613098800
61,Champerico,14.3,-91.9167,79.0,76,29,6.93,GT,1613098800
62,Chennai,13.0878,80.2785,73.26,69,69,4.05,IN,1613098800
63,San Patricio,28.017,-97.5169,43.7,89,95,14.54,US,1613098800
64,Port Keats,-14.25,129.55,87.98,71,56,9.73,AU,1613098800
65,Kruisfontein,-34.0033,24.7314,73.72,82,100,0.87,ZA,1613098800
66,Casa Blanca,18.15,-97.1333,75.63,52,46,3.27,MX,1613098800
67,Rocha,-34.4833,-54.3333,67.82,92,100,8.9,UY,1613098800
68,Tonantins,-2.8731,-67.8022,78.1,74,76,2.77,BR,1613098800
69,Tromsø,69.6496,18.957,32.38,94,95,32.73,NO,1613098800
70,Chokurdakh,70.6333,147.9167,-18.29,77,46,2.91,RU,1613098800
71,Chester,40.1254,-75.8749,23.9,78,49,7.83,US,1613098800
72,Poum,-20.2333,164.0167,79.74,73,1,9.69,NC,1613098800
73,Mariental,-24.6333,17.9667,74.12,53,72,5.88,NA,1613098800
74,Bubaque,11.2833,-15.8333,77.65,64,24,11.95,GW,1613098800
75,Nantucket,41.2835,-70.0995,29.41,72,49,19.93,US,1613098800
76,Warrnambool,-38.3833,142.4833,64.53,65,91,14.7,AU,1613098800
77,Mahébourg,-20.4081,57.7,78.98,74,87,13.29,MU,1613098800
78,Faya,18.3851,42.4509,52.07,60,41,0.63,SA,1613098800
79,Shellbrook,53.2168,-106.4011,-19.61,75,95,9.66,CA,1613098800
80,Barrow,71.2906,-156.7887,-36.87,83,7,3.89,US,1613098800
81,Hervey Bay,-25.2986,152.8535,81.34,51,54,5.39,AU,1613098800
82,Carnarvon,-24.8667,113.6333,85.96,58,84,5.53,AU,1613098800
83,Khatanga,71.9667,102.5,-26.07,86,95,5.86,RU,1613098800
84,Botshabelo,-29.2702,26.7052,65.07,59,75,7.52,ZA,1613098800
85,San Quintín,30.4833,-115.95,59.59,80,0,8.79,MX,1613098800
86,Bethel,41.3712,-73.414,20.17,70,49,6.42,US,1613098800
87,Guarapari,-20.6667,-40.4975,75.79,86,49,7.74,BR,1613098800
88,Esperance,-33.8667,121.9,66.22,59,84,7.11,AU,1613098800
89,Rikitea,-23.1203,-134.9692,79.43,68,87,5.03,PF,1613098800
90,Meulaboh,4.1363,96.1285,84.6,77,73,2.77,ID,1613098800
91,Deputatsky,69.3,139.9,-5.24,83,100,2.15,RU,1613098800
92,College,64.8569,-147.8028,12.43,72,87,4.45,US,1613098800
93,Viedma,-40.8135,-62.9967,68.9,79,0,17.0,AR,1613098800
94,Clyde River,70.4692,-68.5914,2.16,86,75,12.01,CA,1613098800
95,Riyadh,24.6877,46.7219,50.99,42,0,1.39,SA,1613098800
96,Mar del Plata,-38.0023,-57.5575,68.83,89,94,16.13,AR,1613098800
97,Palauig,15.435,119.9045,81.79,77,12,14.18,PH,1613098800
98,Cabedelo,-6.9811,-34.8339,79.52,85,0,11.68,BR,1613098800
99,Kirakira,-10.4544,161.9205,79.93,83,98,8.5,SB,1613098800
100,Thompson,55.7435,-97.8558,-25.76,77,67,4.59,CA,1613098800
101,Vila,42.0304,-8.1588,45.27,98,79,5.32,PT,1613098800
102,Haines Junction,60.7522,-137.5108,-11.4,80,5,0.51,CA,1613098800
103,Kapaa,22.0752,-159.319,73.51,62,9,7.54,US,1613098800
104,Pirovskoye,57.6267,92.2658,-10.25,88,100,10.76,RU,1613098800
105,Antalaha,-14.9003,50.2788,75.85,88,100,4.36,MG,1613098800
106,Avarua,-21.2078,-159.775,82.36,66,38,1.45,CK,1613098800
107,Cidreira,-30.1811,-50.2056,74.48,81,93,11.34,BR,1613098800
108,Hualmay,-11.0964,-77.6139,73.62,73,78,6.04,PE,1613098800
109,East London,-33.0153,27.9116,74.28,84,64,14.34,ZA,1613098800
110,Stein,49.4167,11.0167,10.22,94,0,3.0,DE,1613098800
111,Cape Town,-33.9258,18.4232,69.64,92,48,10.78,ZA,1613098800
112,Shafranovo,53.9667,54.7667,12.63,97,100,3.31,RU,1613098800
113,Loudi,27.7344,111.9944,60.1,83,8,1.77,CN,1613098800
114,Isangel,-19.55,169.2667,84.4,67,83,3.62,VU,1613098800
115,Tessalit,20.1986,1.0114,67.15,20,0,6.64,ML,1613098800
116,Hobart,-42.8794,147.3294,69.66,42,16,11.18,AU,1613098800
117,La Orilla,17.9833,-102.2333,73.76,79,10,4.88,MX,1613098800
118,Beringovskiy,63.05,179.3167,-20.78,85,66,20.11,RU,1613098800
119,Ulladulla,-35.35,150.4667,77.77,60,49,10.96,AU,1613098800
120,Longyearbyen,78.2186,15.6401,3.65,80,69,4.52,SJ,1613098800
121,Busselton,-33.65,115.3333,70.03,56,0,5.53,AU,1613098800
122,Srednekolymsk,67.45,153.6833,-22.68,84,10,4.43,RU,1613098800
123,Lisala,2.15,21.5167,71.1,42,0,1.32,CD,1613098800
124,Nuuk,64.1835,-51.7216,16.57,83,46,10.67,GL,1613098800
125,Touros,-5.1989,-35.4608,80.33,79,21,13.22,BR,1613098800
126,Byron Bay,-28.65,153.6167,80.13,58,51,12.57,AU,1613098800
127,Rocky Mountain House,52.3668,-114.9188,-13.63,72,62,8.41,CA,1613098800
128,Butaritari,3.0707,172.7902,81.39,75,10,11.52,KI,1613098800
129,Shimanovsk,52.0,127.7,23.02,96,100,15.66,RU,1613098800
130,Amapá,1.0,-52.0,72.63,98,47,2.48,BR,1613098800
131,Atuona,-9.8,-139.0333,79.59,74,0,9.91,PF,1613098800
132,Sinnamary,5.3833,-52.95,77.92,85,95,13.02,GF,1613098800
133,Sumenep,-7.0167,113.8667,83.32,80,100,4.76,ID,1613098800
134,Saint-Philippe,-21.3585,55.7679,77.56,72,41,13.51,RE,1613098800
135,Ahmadpur Sial,30.6754,71.7483,61.41,60,87,3.65,PK,1613098800
136,Dingle,10.9995,122.6711,84.74,79,61,0.58,PH,1613098800
137,Upernavik,72.7868,-56.1549,0.64,80,95,8.72,GL,1613098800
138,Tyret’ Pervaya,53.6703,102.3106,-7.31,89,99,6.76,RU,1613098800
139,Great Yarmouth,52.6083,1.7305,30.76,90,24,14.7,GB,1613098800
140,Kodinsk,58.6881,99.1844,-14.28,86,99,4.7,RU,1613098800
141,Sibolga,1.7427,98.7792,86.34,69,85,1.77,ID,1613098800
142,Acarí,-15.4311,-74.6158,73.53,65,18,2.35,PE,1613098800
143,Sayyan,15.1718,44.3244,47.86,50,61,3.11,YE,1613098800
144,Ayan,56.45,138.1667,19.54,95,97,2.66,RU,1613098800
145,Airai,-8.9266,125.4092,74.12,82,67,1.92,TL,1613098800
146,Prymors'k,46.7348,36.3443,43.45,84,98,11.86,UA,1613098800
147,Vila Velha,-20.3297,-40.2925,76.82,85,49,6.78,BR,1613098800
148,Londoko,49.0333,131.9833,16.61,92,99,7.11,RU,1613098800
149,Yermakovskoye,53.2831,92.4003,-13.88,87,25,1.25,RU,1613098800
150,San Vicente,-26.6167,-54.1333,62.85,100,78,2.21,AR,1613098800
151,Marquette,46.5333,-87.6335,4.68,75,98,7.02,US,1613098800
152,Tiarei,-17.5333,-149.3333,84.76,58,73,17.22,PF,1613098800
153,Korla,41.7597,86.1469,37.9,75,84,2.24,CN,1613098800
154,Dhībān,35.0365,40.5167,53.19,62,0,1.05,SY,1613098800
155,Port Elizabeth,-33.918,25.5701,74.5,85,59,4.45,ZA,1613098800
156,Joshīmath,30.5667,79.5667,52.09,33,81,4.18,IN,1613098800
157,Santa Vitória do Palmar,-33.5189,-53.3681,70.61,90,100,11.7,BR,1613098800
158,Flinders,-34.5833,150.8552,83.97,53,22,12.84,AU,1613098800
159,Nānākuli,21.3906,-158.1547,76.39,54,3,0.58,US,1613098800
160,Walvis Bay,-22.9575,14.5053,68.27,85,61,5.55,NA,1613098800
161,Vaini,-21.2,-175.2,83.75,80,87,12.03,TO,1613098800
162,Rassvet,46.8333,40.75,46.99,74,100,14.41,RU,1613098800
163,Vilyuysk,63.7553,121.6247,-16.29,87,49,3.0,RU,1613098800
164,Jeremoabo,-10.075,-38.4808,71.55,81,15,7.9,BR,1613098800
165,Rovaniemi,66.5,25.7167,11.16,90,94,7.92,FI,1613098800
166,Hobyo,5.3505,48.5268,75.79,75,100,14.27,SO,1613098800
167,Lubuagan,17.3548,121.1747,76.41,73,22,2.15,PH,1613098800
168,Elmadağ,39.9208,33.2308,42.3,64,55,8.59,TR,1613098800
169,Marrakesh,31.6315,-8.0083,57.72,86,38,3.18,MA,1613098800
170,Lorengau,-2.0226,147.2712,83.21,75,86,4.38,PG,1613098800
171,Avera,33.194,-82.5271,61.21,94,95,4.74,US,1613098800
172,Bagalkot,16.1833,75.7,71.55,43,56,6.85,IN,1613098800
173,Vostok,46.4856,135.8833,29.03,94,100,3.42,RU,1613098800
174,Kavieng,-2.5744,150.7967,83.23,73,73,3.13,PG,1613098800
175,Verkhnyaya Inta,65.9811,60.3094,-22.14,87,87,1.19,RU,1613098800
176,Tanout,14.9709,8.8879,67.42,21,0,9.44,NE,1613098800
177,Mossamedes,-15.1961,12.1522,72.63,79,70,1.88,AO,1613098800
178,Cap Malheureux,-19.9842,57.6142,79.83,75,99,14.76,MU,1613098800
179,Kaduy,59.2,37.15,-8.34,84,39,4.18,RU,1613098800
180,Iwanai,42.9744,140.5089,37.4,80,10,2.24,JP,1613098800
181,Bhandāra,21.1667,79.65,67.8,46,86,4.88,IN,1613098800
182,Adamantas,36.7333,24.4333,59.07,70,0,12.68,GR,1613098800
183,Beloha,-25.1667,45.05,73.67,82,92,7.05,MG,1613098800
184,Ambovombe,-25.1667,46.0833,74.97,83,100,8.97,MG,1613098800
185,Salalah,17.0151,54.0924,71.38,38,0,6.87,OM,1613098800
186,Tiksi,71.6872,128.8694,-7.37,88,66,6.04,RU,1613098800
187,Leningradskiy,69.3833,178.4167,-14.48,87,100,12.46,RU,1613098800
188,Cherskiy,68.75,161.3,-20.92,82,0,2.42,RU,1613098800
189,Fairbanks,64.8378,-147.7164,12.0,76,94,2.73,US,1613098800
190,Taoudenni,22.6783,-3.9836,66.02,21,0,11.95,ML,1613098800
191,Tuatapere,-46.1333,167.6833,59.65,65,2,8.84,NZ,1613098800
192,Aklavik,68.2191,-135.0107,-7.01,79,69,5.39,CA,1613098800
193,Makat,47.6469,53.3463,33.53,92,46,9.48,KZ,1613098800
194,Opuwo,-18.0607,13.84,65.59,77,93,3.62,NA,1613098800
195,Severo-Kuril'sk,50.6789,156.125,30.13,92,99,4.59,RU,1613098800
196,George Town,5.4112,100.3354,81.54,76,43,5.39,MY,1613098800
197,Diamantino,-14.4086,-56.4461,72.48,93,87,4.38,BR,1613098800
198,Masuguru,-11.3667,38.4167,70.83,94,100,3.96,TZ,1613098800
199,Ancud,-41.8697,-73.8203,53.6,85,21,4.52,CL,1613098800
200,Husavik,66.0449,-17.3389,27.36,89,49,12.62,IS,1613098800
201,Ocampo,21.65,-101.5,58.71,31,0,11.12,MX,1613098800
202,Shache,38.4167,77.2406,43.25,52,0,4.05,CN,1613098800
203,Zholymbet,51.7433,71.7122,-3.03,92,85,3.94,KZ,1613098800
204,Katsuura,35.1333,140.3,54.32,52,100,5.68,JP,1613098800
205,Seydi,39.4816,62.9137,47.39,69,86,10.83,TM,1613098800
206,Pevek,69.7008,170.3133,-21.89,88,71,4.03,RU,1613098800
207,Aripuanã,-9.1667,-60.6333,72.75,97,97,0.56,BR,1613098800
208,Vila Franca do Campo,37.7167,-25.4333,60.73,84,69,25.68,PT,1613098800
209,Quatre Cocos,-20.2078,57.7625,78.93,74,87,11.59,MU,1613098800
210,Lompoc,34.6391,-120.4579,53.6,78,49,6.33,US,1613098800
211,Price,39.5994,-110.8107,38.91,63,61,1.79,US,1613098800
212,Kabalo,-6.05,26.9167,71.4,94,100,1.79,CD,1613098800
213,Ucluelet,48.9329,-125.5528,34.12,68,95,13.2,CA,1613098800
214,Lenggries,47.6833,11.5667,11.86,73,7,2.84,DE,1613098800
215,Kuril'sk,45.2333,147.8833,24.21,94,98,19.17,RU,1613098800
216,Reconquista,-29.15,-59.65,71.74,53,2,4.07,AR,1613098800
217,Potoci,43.4086,17.8786,31.26,58,10,11.07,BA,1613098800
218,Saskylakh,71.9167,114.0833,-13.76,86,100,4.63,RU,1613098800
219,Kaitangata,-46.2817,169.8464,60.06,62,4,8.5,NZ,1613098800
220,Ambilobe,-13.2,49.05,73.29,93,63,2.19,MG,1613098800
221,Karratha,-20.7377,116.8463,86.58,62,24,14.45,AU,1613098800
222,Faanui,-16.4833,-151.75,82.62,65,4,9.15,PF,1613098800
223,Klaksvík,62.2266,-6.589,37.94,76,13,15.84,FO,1613098800
224,Gornyy,55.1153,83.9059,-25.24,85,0,4.16,RU,1613098800
225,Gáldar,28.147,-15.6502,63.21,76,49,8.03,ES,1613098800
226,Qaqortoq,60.7167,-46.0333,36.32,55,87,10.92,GL,1613098800
227,Bud,39.447,-86.1758,17.37,84,93,10.2,US,1613098800
228,Gizo Government Station,-8.103,156.8419,83.05,77,96,8.84,SB,1613098800
229,Korbous,36.8167,10.5687,54.19,68,10,8.21,TN,1613098800
230,Bonavista,48.6499,-53.1147,31.39,96,100,26.66,CA,1613098800
231,Codrington,-38.2667,141.9667,67.66,58,96,12.95,AU,1613098800
232,New Norfolk,-42.7826,147.0587,68.77,52,19,10.04,AU,1613098800
233,Westport,41.1415,-73.3579,23.68,67,49,10.76,US,1613098800
234,Dibulla,11.2725,-73.3091,76.53,70,96,11.25,CO,1613098800
235,Mayo,38.8876,-76.5119,31.68,86,95,12.93,US,1613098800
236,Fortuna,40.5982,-124.1573,49.57,94,95,3.0,US,1613098800
237,Nome,64.5011,-165.4064,3.79,88,95,10.56,US,1613098800
238,Guapí,2.5708,-77.8854,76.35,91,82,2.66,CO,1613098800
239,Nakamura,32.9833,132.9333,56.48,59,100,4.52,JP,1613098800
240,Lata,40.1629,-8.3327,52.77,95,56,4.16,PT,1613098800
241,Dikson,73.5069,80.5464,-14.22,89,100,6.15,RU,1613098800
242,Lebu,-37.6167,-73.65,59.43,91,58,13.62,CL,1613098800
243,Lavrentiya,65.5833,-171.0,-20.49,81,26,13.58,RU,1613098800
244,Kieta,-6.2167,155.6333,81.52,78,100,10.51,PG,1613098800
245,San Policarpo,12.1791,125.5072,82.89,82,27,6.06,PH,1613098800
246,Catu,-12.3531,-38.3789,75.45,77,14,2.48,BR,1613098800
247,Tautira,-17.7333,-149.15,84.6,59,65,17.2,PF,1613098800
248,Promyshlennyy,67.5833,63.9167,-18.83,89,100,4.27,RU,1613098800
249,Sangmélima,2.9333,11.9833,69.87,91,64,3.2,CM,1613098800
250,Saint George,37.1041,-113.5841,58.91,33,48,0.27,US,1613098800
251,Verāval,20.9,70.3667,71.42,38,20,7.56,IN,1613098800
252,Shadrinsk,56.0852,63.6335,-9.62,90,70,5.93,RU,1613098800
253,Jinxiang,27.4327,120.6062,54.05,88,100,9.89,CN,1613098800
254,Zatoka,46.0725,30.4654,28.11,99,87,28.59,UA,1613098800
255,City of San Pedro,14.35,121.0167,84.33,67,18,7.25,PH,1613098800
256,Arroyo de la Encomienda,41.6096,-4.7969,50.05,93,95,15.68,ES,1613098800
257,Māngrol,21.1167,70.1167,70.29,45,3,7.63,IN,1613098800
258,Tommot,58.9564,126.2925,3.69,90,100,3.29,RU,1613098800
259,Cayambe,0.05,-78.1333,55.09,88,87,0.29,EC,1613098800
260,Norman Wells,65.282,-126.8329,-1.16,78,10,6.67,CA,1613098800
261,Griffith,41.5284,-87.4237,16.77,82,95,6.2,US,1613098800
262,Saint-Pierre,-21.3393,55.4781,78.35,69,31,11.5,RE,1613098800
263,Troitskoye,52.9821,84.6757,-17.54,85,1,4.03,RU,1613098800
264,Bukachacha,52.9833,116.9167,10.2,89,100,8.99,RU,1613098800
265,Ribeira Grande,38.5167,-28.7,60.75,80,99,24.34,PT,1613098800
266,Miura,35.14,139.6192,50.9,55,100,7.81,JP,1613098800
267,Hirara,24.8,125.2833,70.18,81,59,26.46,JP,1613098800
268,Hilo,19.7297,-155.09,72.75,64,61,6.78,US,1613098800
269,Chopda,21.25,75.3,73.0,25,67,4.5,IN,1613098800
270,Laguna,38.421,-121.4238,52.27,88,95,12.03,US,1613098800
271,Puerto Escondido,15.85,-97.0667,77.65,76,1,5.53,MX,1613098800
272,Bend,44.0582,-121.3153,15.67,94,95,8.77,US,1613098800
273,Burnie,-41.0667,145.9167,66.43,71,53,17.83,AU,1613098800
274,Härnösand,62.6323,17.9379,26.62,82,95,15.1,SE,1613098800
275,Mt. Pleasant,32.7941,-79.8626,61.03,97,87,6.82,US,1613098800
276,Canutama,-6.5339,-64.3831,73.31,92,98,2.68,BR,1613098800
277,Coquimbo,-29.9533,-71.3436,62.55,88,15,2.35,CL,1613098800
278,Korem,12.5058,39.5228,47.59,69,89,1.23,ET,1613098800
279,Port Hedland,-20.3167,118.5667,86.34,67,46,13.73,AU,1613098800
280,Pontianak,-0.0333,109.3333,86.04,76,47,3.85,ID,1613098800
281,Saint Paul Harbor,57.79,-152.4072,38.46,91,95,33.91,US,1613098800
282,Stephenville,32.2207,-98.2023,31.55,82,56,11.16,US,1613098800
283,Romanovo,52.6182,81.2271,-23.55,85,44,4.32,RU,1613098800
284,Tirumullaivāsal,11.2333,79.8333,73.94,68,100,8.37,IN,1613098800
285,Whitehorse,60.7161,-135.0538,-5.75,73,1,7.58,CA,1613098800
